NUMBER;CLAS_SIFICATION;DATE_CASE;REF;NOT_COUNTRY;SUBJET;PROD_CAT;TYPE;RISK_DECISION;ACTION_TAKEN;DISTRIBUTION_STAT;PRODUCT;HAZARDS;HAZARDS_CAT;ORIG_COUNTRY;DESTIN_COUNTRY;CONCERN_COUNTRY
4795;information notification for attention;2021-12-06;2021.6645;Belgium;Ethepon residues in grapes from Lebanon;fruits and vegetables;food;serious;Seizure;Product not (yet) placed on the market;Grapes;ethephon  ;Pesticide residues;Lebanon;Belgium;Belgium
4796;alert notification;2021-12-03;2021.6642;Belgium;Ambrosia in sorghum from France;feed materials;feed;serious;Physical treatment - sorting;No distribution from notifying country;Sorghum;ragweed (Ambrosia spp.) seeds  too high content;Composition;France;Belgium;Belgium
"4797;alert notification;2021-12-03;2021.6641;Poland;Salmonella Enteritidis in poultry meat from Poland;poultry meat and poultry meat products;food;serious;Reinforced checking;Distribution to other member countries, Distribution to non-member countries only;Poultry meat, Mechanically separated chicken meat, 1 mm;Salmonella Enteritidis ;Pathogenic micro-organisms;Poland;France,Poland,Ukraine;Poland"
4798;alert notification;2021-12-03;2021.6639;Poland;Salmonella spp. in frozen kebab from Poland;meat and meat products (other than poultry);food;serious;Withdrawal from recipient(s);Distribution to other member countries;Minced kebab;Salmonella spp. ;Pathogenic micro-organisms;Poland;Sweden;Poland
"4799;alert notification;2021-12-03;2021.6634;Spain;Unauthorised substance ethylene oxide in calcium carbonate used in food supplement from Italy;dietetic foods, food supplements and fortified foods;food;serious;Public warning - press release;Distribution to other member countries;MULTICENTRUM INMUNO C;ethylene oxide  ;Pesticide residues;India,Italy;Andorra,Spain;Spain"
"4800;alert notification;2021-12-03;2021.6633;Italy;2-chloroethanol in Coleus forskohlii extract from India;dietetic foods, food supplements and fortified foods;food;serious;Withdrawal from the market;Distribution to other member countries, No distribution to other member countries;Dietary supplement, Nahrungsergänzungsmittel - food supplement;ethylene oxide  ;Pesticide residues;India,Italy;Germany,Italy,Romania;Italy"
"4801;border rejection notification;2021-12-03;2021.6628;Germany;Aflatoxins in dried figs from Turkey ;fruits and vegetables;food;serious;Official detention;Product not (yet) placed on the market;Dried figs;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Turkey;Germany;Germany"
"4802;alert notification;2021-12-03;2021.6627;Italy;presenza di Tetramethrin in riso arborio/Tetramethrin in rice from Italy;cereals and bakery products;food;undecided;Public warning - press release;Distribution to other member countries;Riso arborio;tetramethrin   unauthorised substance;Pesticide residues;Italy;Armenia,Belarus,Croatia,France,Hong Kong,Italy,Latvia,Malta,Philippines,United Kingdom;Italy"
4803;information notification for attention;2021-12-03;2021.6625;Norway;Pesticide residues in wheat flour from India;cereals and bakery products;food;undecided;Withdrawal from the market;Distribution restricted to notifying country;Wheat flour;chlorpyrifos  ;Pesticide residues;India;Norway;Norway
"4804;border rejection notification;2021-12-03;2021.6623;Poland;Iprodione (0,023Â±0,012 mg/kg) in prunes from Chile;fruits and vegetables;food;undecided;Return to consignor;Product not (yet) placed on the market;Prunes;iprodione  ;Pesticide residues;Chile;Poland;Poland"
4805;information notification for attention;2021-12-03;2021.6621;Germany;Increased ochratoxin A content in fig bread from Turkey;fruits and vegetables;food;serious;Recall from consumer;Distribution restricted to notifying country;Fig bread;ochratoxin A  ;Mycotoxins;Turkey;Germany;Germany
"4806;border rejection notification;2021-12-03;2021.6619;Germany;Lambda-cyhalothrin in fresh chillies from Uganda;fruits and vegetables;food;serious;Destruction;Product not (yet) placed on the market;Fresh chillies, chilled;lambda-cyhalothrin  ;Pesticide residues;Uganda;Germany;Germany"
4807;information notification for attention;2021-12-03;2021.6617;Poland;unauthorised substance dithiocarbamates in fresh spinach from Spain;fruits and vegetables;food;serious;Reinforced checking;Product (presumably) no longer on the market;Szpinak swie?y - fresh spinach;dithiocarbamates  ;Pesticide residues;Spain;Spain;Poland
"4808;border rejection notification;2021-12-03;2021.6615;Netherlands;Aflatoxine in organic cashew kernels;nuts, nut products and seeds;food;serious;Informing consignor;Product not (yet) placed on the market;Cashew kernels;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Togo;Netherlands;Netherlands"
"4809;alert notification;2021-12-03;2021.6613;Romania;Presence of Salmonella Enteritidis in frozen chicken liver from Poland;poultry meat and poultry meat products;food;serious;Withdrawal from the market;No distribution from notifying country;Ficat de pui congelat // Frozen chicken liver;Salmonella enteritidis phagetype 6D ,Salmonella spp. ;Pathogenic micro-organisms;Poland;Romania;Romania"
"4810;information notification for follow-up;2021-12-03;2021.6603;Austria;phenoxymethyl-penicillin in feed additive from Italy, via Germany;feed additives;feed;not serious;Return to consignor;Distribution to other member countries;Life yeast (saccharomyces cerevisiae);penicillin  residue level above MRL,phenoxymethylpenicillin  presence;Residues of veterinary medicinal products;Germany;Austria,Bulgaria,Germany,Lithuania,Sweden;Austria"
4811;alert notification;2021-12-03;2021.6601;Denmark;Patulin in apple juice from Denmark;non-alcoholic beverages;food;serious;Withdrawal from recipient(s);Distribution to other member countries;Apple juice;patulin  ;Mycotoxins;Denmark;Sweden;Denmark
"4812;alert notification;2021-12-03;2021.6599;Austria;Pesticide residues in basmati rice from India, via the Netherlands;cereals and bakery products;food;serious;No action taken;No distribution from notifying country;Basmati rice;thiamethoxam  ,tricyclazole  unauthorised substance;Pesticide residues;India;Austria,Netherlands;Austria"
4813;information notification for attention;2021-12-03;2021.6597;Spain;Salmonella enteritidis in frozen pasteurized wedge clams( Donax trunculus) from Turkey;bivalve molluscs and products thereof;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Frozen pasteurized wedge clams( Donax trunculus);Salmonella spp. ;Pathogenic micro-organisms;Turkey;Spain;Spain
"4814;information notification for follow-up;2021-12-03;2021.6595;Poland;exceeding the maximum permissible level ochratoxin A in a sample of the product: Raisins SUÅTANK;fruits and vegetables;food;undecided;Withdrawal from recipient(s);Distribution to other member countries;Rodzynki Su?tanki -Raisins SU?TANK;ochratoxin A  ;Mycotoxins;Uzbekistan;Denmark,Germany,Poland,Sweden;Poland"
"4815;alert notification;2021-12-02;2021.6592;Switzerland;Novel food korean ginseng and too high content of zinc in food supplement from Netherlands;dietetic foods, food supplements and fortified foods;food;serious;Seizure;Distribution to other member countries;Viamax Volumizer, 60 Capsules, 01/2024, LOT 60014 Viamax International, Stockholm, Sweden;ginseng (Panax ginseng) unauthorised,zinc  too high content;GMO / novel food, Composition;Netherlands;Netherlands,Switzerland;Switzerland"
4816;information notification for attention;2021-12-02;2021.6591;Germany;Acetamiprid in table grapes from Turkey;fruits and vegetables;food;serious;Informing authorities;Product (presumably) no longer on the market;Grapes;acetamiprid  ;Pesticide residues;Turkey;Germany;Germany
"4817;information notification for follow-up;2021-12-02;2021.6587;Finland;Salmonella Orion and Salmonella Senftenberg in rape seed meal from Germany;feed materials;feed;not serious;Physical treatment - acid treatment;No distribution from notifying country;Rapeseed meal;Salmonella  ,Salmonella  suspicion,Salmonella Orion ,Salmonella Senftenberg ;Pathogenic micro-organisms;Germany;Finland;Finland"
"4818;information notification for follow-up;2021-12-02;2021.6586;Denmark;Imazalil in oranges from South Africa;fruits and vegetables;food;undecided;Withdrawal from the market;Distribution to other member countries;Oranges;imazalil  ;Pesticide residues;South Africa;Denmark,Sweden;Denmark"
"4819;border rejection notification;2021-12-02;2021.6583;Germany;Aflatoxins in groundnuts in shell from the United States;nuts, nut products and seeds;food;serious;Official detention;Product not (yet) placed on the market;Peanuts;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;United States;Germany;Germany"
"4820;information notification for follow-up;2021-12-02;2021.658;Germany;Bacillus cereus in organic barley grass powder from Hungary;cereals and bakery products;food;not serious;Destruction;Distribution to other member countries;Organic barley grass powder;Bacillus cereus presumptive;Pathogenic micro-organisms;Hungary;Bulgaria,Cyprus,Czech Republic,Estonia,Finland,France,Germany,Greece,Hungary,Netherlands,Poland,Romania,Slovakia,Slovenia,Sweden,Switzerland;Germany"
"4821;border rejection notification;2021-12-02;2021.6577;Poland;Aflatoxins in pistachios in shell from Iran;nuts, nut products and seeds;food;serious;Re-dispatch;Product not (yet) placed on the market;Pistachios in shell;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Iran;Poland;Poland"
"4822;alert notification;2021-12-02;2021.6576;France;Listeria monocytogenes in cheese from France;milk and milk products;food;serious;Recall from consumer;Distribution to other member countries;Cheese;Listeria monocytogenes ;Pathogenic micro-organisms;France;Belgium,Czech Republic,Estonia,Finland,Germany,Italy,Luxembourg,Poland,Portugal,Singapore,Spain,Sweden,United Arab Emirates;France"
"4823;border rejection notification;2021-12-02;2021.6575;Germany;aflatoxins in hazelnut kernels from Turkey;nuts, nut products and seeds;food;serious;Re-dispatch;Product forwarded to destination;Hazelnut kernels without shell;Aflatoxin B1  ;Mycotoxins;Turkey;Germany;Germany"
"4824;alert notification;2021-12-02;2021.6573;Italy; Escherichia coli oltre i limiti in vongole (Camelea gallina) dall'Italia //too high count of Escherichia coli in clams (Camelea gallina) from Italy;bivalve molluscs and products thereof;food;serious;Withdrawal from the market;Distribution to other member countries;Vongole (Camelea gallina)//clams (Camelea gallina);Escherichia coli  high count;Pathogenic micro-organisms;Italy;Italy,Spain;Italy"
"4825;border rejection notification;2021-12-02;2021.6572;Greece;Presence of Salmonella spp. in sesame seeds from India;nuts, nut products and seeds;food;serious;Re-dispatch;Product not (yet) placed on the market;Hulled sesame seeds;Salmonella spp. ;Pathogenic micro-organisms;India;Greece;Greece"
"4826;border rejection notification;2021-12-02;2021.6571;Germany;Aflatoxins in organic dried figs from Turkey;fruits and vegetables;food;serious;Official detention;Product not (yet) placed on the market;Organic dried figs;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Turkey;Germany;Germany"
"4827;border rejection notification;2021-12-02;2021.657;Germany;Aflatoxins in roasted and salted pistachios in shell from Turkey;nuts, nut products and seeds;food;serious;Official detention;Product not (yet) placed on the market;Pistachios in shell;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Turkey;Germany;Germany"
"4828;alert notification;2021-12-02;2021.6565;Germany;Ethylene oxide in locust bean gum, processed in spice mixtures from Germany;food additives and flavourings;food;serious;Informing recipient(s);Distribution to other member countries, Distribution restricted to notifying country;Locust bean gum, Sauce stabilizer, 	Additive;ethylene oxide  ;Pesticide residues;Germany,Turkey;Germany,Netherlands;Germany"
4829;information notification for attention;2021-12-02;2021.6564;Lithuania;Salmonella Newport in inner fillet of chicken broiler from Poland;poultry meat and poultry meat products;food;not serious;Destruction;Product (presumably) no longer on the market;inner fillet of chicken broiler;Salmonella Newport ;Pathogenic micro-organisms;Poland;Lithuania;Lithuania
"4830;alert notification;2021-12-02;2021.6556;France;Listeria monocytogenes in smoked and oiled salted herring fillets from Poland;fish and fish products;food;serious;Recall from consumer;No distribution to other member countries;Filets de harengs salés fumés à l'huile // Smoked and oiled salted herring fillets;Listeria monocytogenes ;Pathogenic micro-organisms;Poland;France,Poland;France"
"4831;border rejection notification;2021-12-02;2021.6554;Malta;Exceedance of MRL for Trimethyl-sulfonium cation, resulting from the use of glyphosate and perchlorate in Organic Moringa Leaf powder;dietetic foods, food supplements and fortified foods;food;not serious;Placed under customs seals;Product not (yet) placed on the market;Organic Moringa Leaf Powder;perchlorate  ,trimethyl-sulfonium cation  resulting from the use of glyphosate;Environmental pollutants, 	Pesticide residues;United Kingdom;Malta;Malta"
